code,name,account_type,reconcile
11210101,اخرى,income,True
11210200,رأسمالية,income,False
11210201,لتمويل الأستثمارات,income,True
11210202,أخرى,income,True
11220000,منح من منظمات دولية,income,False
11220100,جارية,income,False
11220101,اخرى,income,True
11220200,رأسمالية,income,False
11220201,لتمويل الأستثمارات,income,True
11220202,أخرى,income,True
11230000,منح من جهات حكومية,income,False
11230100,جارية,income,False
11230101,اخرى,income,True
11230200,رأسمالية,income,False
11230201,لتمويل الأستثمارات,income,True
11230202,أخرى,income,True
11300000,لباب الثالث - الإيرادات الأخرى,income,False
11310000,عوائد الملكية,income,False
11310100,الفوائد المحصلة,income,False
11310101,على السندات,income,True
11310102,على الإقراض,income,True
11310103,على إعادة الإقراض من القروض الخارجية المعاد أقراضها من الخزانة العامة,income,True
11310104,فوائد دائنة,income,True
11310105,أخرى,income,True
11310200,أرباح الأسهم,income,False
11310201,شركات القطاع الخاص,income,True
11310202,الهيئات الأقتصادية,income,True
11310203,البنك المركزى,income,True
11310204,شركات القطاع العام,income,True
11310205,شركات قطاع الأعمال العام,income,True
11310206,هيئة البترول,income,True
11310207,قناة السويس,income,True
11310208,أرباح أوراق مالية,income,True
11310300,عائد الإيجارات,income,False
11310301,اتاوة البترول,income,True
11310302,إيجار أراضى حكومية,income,True
11310303,إيرادات المناجم,income,True
11310304,إيرادات المرافق التى تديرها المحليات,income,True
11310305,إيرادات استغلال الأراضى السياحية,income,True
11310306,أخرى (من هيئة البترول),income,True
11310307,اتاوة الذهب,income,True
11310400,عوائد ملكية أخرى,income,False
11310401,الرخصة الثالثة للمحمول,income,True
11310402,الجيل الثالث للمحمول,income,True
11310403,مقابل منح تراخيص الأسمنت,income,True
11310404,رخصة التليفون الثابت,income,True
11310406,رخصة الجيل الرابع للمحمول,income,True
11320000,حصيلة بيع السلع والخدمات,income,False
11320100,إيرادات الخدمات,income,False
11320101,رسوم قضائية وغرامات (خدمات العدالة عدا رسوم نقل الملكية),income,True
11320102,رسوم قيد وتسجيل ورقابة واشراف,income,True
11320103,الخدمات الجمركية,income,True
11320104,الخدمات الزراعية,income,True
11320105,الخدمات التعليمية,income,True
11320106,الخدمات الصحية,income,True
11320107,الخدمات الثقافية,income,True
11320108,خدمات الاسكان والتعمير,income,True
11320109,الخدمات الاجتماعية,income,True
11320110,الخدمات التموينية,income,True
11320111,خدمات القوى العاملة,income,True
11320112,خدمات الطرق والمواصلات,income,True
11320113,خدمات الشباب والرياضة,income,True
11320114,الخدمات البيطرية,income,True
11320115,خدمات التنظيم والادارة,income,True
11320116,التخطيط الاقليميى,income,True
11320117,الخدمات السياحية,income,True
