code,name,level,parent_code,account_type,full_path
11130320,أجهزة تكييف الهواء ووحداتها المستقلة (ضريبة جدول +ضريبة قيمة مضافة ),6,11130300,income,"الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب على سلع جدول رقم ""1"" محلية / أجهزة تكييف الهواء ووحداتها المستقلة (ضريبة جدول +ضريبة قيمة مضافة )"
11130321,سيارات خاصة لنقل الأشخاص فى ملاعب الجولف ، وسيارات مماثلة (ضريبة جدول +ضريبة قيمة مضافة ),6,11130300,income,"الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب على سلع جدول رقم ""1"" محلية / سيارات خاصة لنقل الأشخاص فى ملاعب الجولف ، وسيارات مماثلة (ضريبة جدول +ضريبة قيمة مضافة )"
11130322,سيارات ركوب حتى 1600سم3 أو ذات المحركات الدوارة فيما عدا المركبات ذات الثلاث عجلات التى تعمل بمحرك دراجة نارية (ضريبة جدول +ضريبة قيمة مضافة ),6,11130300,income,"الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب على سلع جدول رقم ""1"" محلية / سيارات ركوب حتى 1600سم3 أو ذات المحركات الدوارة فيما عدا المركبات ذات الثلاث عجلات التى تعمل بمحرك دراجة نارية (ضريبة جدول +ضريبة قيمة مضافة )"
11130323,سيارات ركوب سعة السلندرات 1601 حتى 2000 سم3 أو ذات المحركات الدوارة ، وسيارات نقل البضائع والأشخاص معاً وسيارات الجيب وسيارات رحلات ومعسكرات مجهزة للمعيشة ومقطورات مجهزة للرحلات (ضريبة جدول +ضريبة قيمة مضافة ),6,11130300,income,"الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب على سلع جدول رقم ""1"" محلية / سيارات ركوب سعة السلندرات 1601 حتى 2000 سم3 أو ذات المحركات الدوارة ، وسيارات نقل البضائع والأشخاص معاً وسيارات الجيب وسيارات رحلات ومعسكرات مجهزة للمعيشة ومقطورات مجهزة للرحلات (ضريبة جدول +ضريبة قيمة مضافة )"
11130324,سيارات ركوب سعة السلندرات أكثر من 2000 سم 3 أو ذات المحركات الدوارة (ضريبة جدول +ضريبة قيمة مضافة ),6,11130300,income,"الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب على سلع جدول رقم ""1"" محلية / سيارات ركوب سعة السلندرات أكثر من 2000 سم 3 أو ذات المحركات الدوارة (ضريبة جدول +ضريبة قيمة مضافة )"
11130325,المقاولات وأعمال التشييد والبناء (توريد وتركيب),6,11130300,income,"الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب على سلع جدول رقم ""1"" محلية / المقاولات وأعمال التشييد والبناء (توريد وتركيب)"
11130326,نوع (26) النقل المكيف بين المحافظات ( أتوبيس - سكة حديد ),6,11130300,income,"الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب على سلع جدول رقم ""1"" محلية / نوع (26) النقل المكيف بين المحافظات ( أتوبيس - سكة حديد )"
11130327,الخدمات المهنية والاستشارية عدا خدمات الحرفيين,6,11130300,income,"الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب على سلع جدول رقم ""1"" محلية / الخدمات المهنية والاستشارية عدا خدمات الحرفيين"
11130328,الإنتاج الاعلامى والبرامجى ، والأفلام السينمائية ، والتليفزيونية ، والتسجيلية والوثائقية وأعمال الدراما التليفزيونية ، والإذاعة والمسرحية,6,11130300,income,"الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب على سلع جدول رقم ""1"" محلية / الإنتاج الاعلامى والبرامجى ، والأفلام السينمائية ، والتليفزيونية ، والتسجيلية والوثائقية وأعمال الدراما التليفزيونية ، والإذاعة والمسرحية"
11130329,خدمات الاتصالات عن طريق شبكات المحمول (ضريبة جدول +ضريبة قيمة مضافة ),6,11130300,income,"الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب على سلع جدول رقم ""1"" محلية / خدمات الاتصالات عن طريق شبكات المحمول (ضريبة جدول +ضريبة قيمة مضافة )"
11130400,"ضرائب على سلع جدول رقم ""1"" مستوردة",5,11130000,income,"الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب على سلع جدول رقم ""1"" مستوردة"
11130401,الشاى,6,11130400,income,"الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب على سلع جدول رقم ""1"" مستوردة / الشاى"
11130402,السكر,6,11130400,income,"الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب على سلع جدول رقم ""1"" مستوردة / السكر"
11130403,مياه غازيه,6,11130400,income,"الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب على سلع جدول رقم ""1"" مستوردة / مياه غازيه"
11130404,بيره,6,11130400,income,"الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب على سلع جدول رقم ""1"" مستوردة / بيره"
11130405,تبغ وسجائر,6,11130400,income,"الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب على سلع جدول رقم ""1"" مستوردة / تبغ وسجائر"
11130406,منتجات بترولية,6,11130400,income,"الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب على سلع جدول رقم ""1"" مستوردة / منتجات بترولية"
11130407,الكحول,6,11130400,income,"الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب على سلع جدول رقم ""1"" مستوردة / الكحول"
11130408,الادوية,6,11130400,income,"الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب على سلع جدول رقم ""1"" مستوردة / الادوية"
11130409,زيوت طعام نباتية,6,11130400,income,"الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب على سلع جدول رقم ""1"" مستوردة / زيوت طعام نباتية"
11130410,زيوت وشحوم,6,11130400,income,"الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب على سلع جدول رقم ""1"" مستوردة / زيوت وشحوم"
11130411,اسمنت,6,11130400,income,"الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب على سلع جدول رقم ""1"" مستوردة / اسمنت"
11130412,سيارات ركوب سعة السلندرات أكثر من 2000 سم 3 أو ذات المحركات الدوارة (ضريبة جدول +ضريبة قيمة مضافة),6,11130400,income,"الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب على سلع جدول رقم ""1"" مستوردة / سيارات ركوب سعة السلندرات أكثر من 2000 سم 3 أو ذات المحركات الدوارة (ضريبة جدول +ضريبة قيمة مضافة)"
11130500,الضرائب على الخدمات الخاصة,5,11130000,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / الضرائب على الخدمات الخاصة
11130501,ضرائب على تذاكر السفر للخارج ( تضامن اجتماعى ),6,11130500,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / الضرائب على الخدمات الخاصة / ضرائب على تذاكر السفر للخارج ( تضامن اجتماعى )
11130502,رسم تنمية على تذاكر السفر إلى الخارج الصادرة فى مصر بالعملة المحلية,6,11130500,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / الضرائب على الخدمات الخاصة / رسم تنمية على تذاكر السفر إلى الخارج الصادرة فى مصر بالعملة المحلية
11130503,ضريبة الملاهى,6,11130500,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / الضرائب على الخدمات الخاصة / ضريبة الملاهى
11130504,الأتاوة على القمار,6,11130500,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / الضرائب على الخدمات الخاصة / الأتاوة على القمار
11130505,إيرادات غرامات وتعويضات قانون الضريبة على الدخل,6,11130500,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / الضرائب على الخدمات الخاصة / إيرادات غرامات وتعويضات قانون الضريبة على الدخل
11130506,مقابل التأخير فى الضرائب,6,11130500,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / الضرائب على الخدمات الخاصة / مقابل التأخير فى الضرائب
11130507,اخرى متتوعة,6,11130500,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / الضرائب على الخدمات الخاصة / اخرى متتوعة
11130600,ضرائب الدمغة (عدا دمغة الماهيات ),5,11130000,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب الدمغة (عدا دمغة الماهيات )
11130601,الدمغة على النماذج المدموغة وطوابع الدمغة,6,11130600,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب الدمغة (عدا دمغة الماهيات ) / الدمغة على النماذج المدموغة وطوابع الدمغة
11130602,لدمغة على التأمين(القائم),6,11130600,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب الدمغة (عدا دمغة الماهيات ) / لدمغة على التأمين(القائم)
11130603,الدمغة على المراهنات واليانصيب,6,11130600,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب الدمغة (عدا دمغة الماهيات ) / الدمغة على المراهنات واليانصيب
11130604,الدمغة على أعمال البورصة,6,11130600,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب الدمغة (عدا دمغة الماهيات ) / الدمغة على أعمال البورصة
11130605,الدمغة على عقود اشتراكات المياه والنور والغاز والتليفون,6,11130600,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب الدمغة (عدا دمغة الماهيات ) / الدمغة على عقود اشتراكات المياه والنور والغاز والتليفون
11130606,الدمغة على استهلاك الغاز والكهرباء والبوتاجاز,6,11130600,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب الدمغة (عدا دمغة الماهيات ) / الدمغة على استهلاك الغاز والكهرباء والبوتاجاز
11130607,الدمغة على الإعلانات,6,11130600,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب الدمغة (عدا دمغة الماهيات ) / الدمغة على الإعلانات
